id,section,text,tip_short,tip_detailed,chapter,region,reward,missable,notes
"bounties","bounties","Valentine Sheriff (2 Bounties)","","Available after Chapter 2 mission ""Good, Honest, Snake Oil"". Alive = more $.","epilogue","","","",""
"bounty-anthony","bounties","Anthony Foreman ($50)","","Gang leader from Trelawny missions. Only appears if not killed in story. Epilogue.","epilogue","","","",""
"bounty-bart","bounties","Bart Cavanaugh ($60)","","Outlaw gang leader. Multiple bodyguards. Approach carefully - stealth recommended.","","","","",""
"bounty-benedict","bounties","Benedict Allbright ($40)","","Poison seller. Found on rocks west of Valentine near Dakota River. Must bring ALIVE.","","","","",""
"bounty-blackwater","bounties","Blackwater Police (3 Bounties)","","⚠️ EPILOGUE ONLY - West Elizabeth access required.","epilogue","","","",""
"bounty-camille","bounties","Camille de Millemont ($55)","","French con artist. Found in Saint Denis area saloon. Persuasive - stay focused.","","","","",""
"bounty-elias","bounties","Elias Green ($65)","","War veteran gone bad. West of Beecher\","","","","",""
"bounty-ellie","bounties","Ellie Anne Swan ($50)","","Female outlaw. Camp northwest of Valentine near Wallace Station. Alive = $50, Dead = $25.","","","","",""
"bounty-esteban","bounties","Esteban Cortez ($65)","","Mexican outlaw. Multiple gang members. Alive or dead = $65.","","","","",""
"bounty-herman","bounties","Herman Zizendorf ($50)","","Near MacFarlane's Ranch. Has accomplices.","","","","",""
"bounty-joaquin","bounties","Joaquin Arroyo ($60)","","Del Lobo gang connection. Alive = $60, Dead = $30.","","","","",""
"bounty-joshua","bounties","Joshua Brown ($40)","","Dangerous criminal. Abandoned mine NW of Strawberry. Bring dynamite or patience.","","","","",""
"bounty-lindsay","bounties","Lindsay Wofford ($45)","","City criminal. Urban pursuit through Saint Denis streets. Watch for police.","","","","",""
"bounty-mark","bounties","Mark Johnson ($25)","","Horse thief. Found in Bluewater Marsh. Has gang backup.","","","","",""
"bounty-otis","bounties","Otis Skinner ($55)","","Serial killer type. Very dangerous - bring heavy weapons.","","","","",""
"bounty-patrick","bounties","Patrick O\","","Serial arsonist. Found near industrial area. Fire-related death if you let him.","","","","",""
"bounty-rhodes","bounties","Rhodes Sheriff (3 Bounties)","","Southern bounties in Lemoyne area.","3","","","",""
"bounty-robbie","bounties","Robbie Laidlaw ($45)","","Murderer. Hiding near Caliga Hall farmhouse. Dangerous.","","","","",""
"bounty-saintdenis","bounties","Saint Denis Police (3 Bounties)","","Urban bounties. Some connected to story missions.","epilogue","","","",""
"bounty-strawberry","bounties","Strawberry Sheriff (2 Bounties)","","Western bounties in Big Valley area.","2","","","",""
"bounty-tumbleweed","bounties","Tumbleweed Sheriff (2 Bounties)","","⚠️ EPILOGUE ONLY - New Austin access required.","epilogue","","","",""
"bounty-valentine","bounties","Valentine Sheriff (2 Bounties)","","Available after Chapter 2 mission ""Good, Honest, Snake Oil"". Alive = more $.","2","","","",""
"camp","camp","Ledger Upgrades ($ Only)","","Purchase from camp ledger near donation box. No materials needed.","","","Legend of the East Satchel","YES",""
"camp-ammo","camp","Ammunition Wagon","","Donate consistently over time. Provides free ammo at camp.","","","","",""
"camp-boat","camp","Camp Boat/Canoe ($400)","","Available at Clemens Point only. Small fishing boat.","","","","",""
"camp-chicken-coop","camp","Chicken Coop ($175)","","Provides eggs for camp provisions.","","","","",""
"camp-donations","camp","Donation Wagon Rewards","","Unlocked by donating money/items to camp box over time.","","","","",""
"camp-horse-station","camp","Horse Station ($300)","","Hitching post for horse management. Access stabled horses from camp.","","","","",""
"camp-leather-tools","camp","Leather Working Tools ($225) ⭐","","Allows Pearson to craft satchels. REQUIRED for Legend of the East Satchel!","","","","YES",""
"camp-ledger","camp","Ledger Upgrades ($ Only)","","Purchase from camp ledger near donation box. No materials needed.","","","","YES",""
"camp-lodging-arthur","camp","Arthur's Lodging ($325) ⭐","","Unlocks FAST TRAVEL from map near bed. ESSENTIAL!","","","","YES",""
"camp-lodging-dutch","camp","Dutch's Lodging ($175)","","Upgrades Dutch's tent. Morale boost.","","","","",""
"camp-medical","camp","Medical Wagon","","Donate consistently over time. Provides medical supplies.","","","","",""
"camp-pearson-items","camp","Pearson Camp Crafting Items","","Decorative and functional items made from animal parts.","","","","",""
"camp-satchels","camp","Pearson Satchels (Requires Leather Tools)","","⭐ Craft all 7 satchels to unlock Legend of the East Satchel - holds 99 of EVERYTHING!","","","Legend of the East Satchel","YES",""
"pearson-alligator","camp","Alligator Skin Item","","📦 Perfect Alligator Skin. Various decorations.","","","","",""
"pearson-boar-skin","camp","Boar Skin Table Cover","","📦 Perfect Boar Pelt. For Pearson area.","","","","",""
"pearson-cougar","camp","Cougar Skin Rug","","📦 Perfect Cougar Pelt. Arthur tent area.","","","","",""
"pearson-ox-skin","camp","Ox Hide Floor Cover","","📦 Perfect Ox Hide. Ground cover.","","","","",""
"pearson-pronghorn-skull","camp","Pronghorn Skull","","📦 Perfect Pronghorn Carcass. Hanging decoration.","","","","",""
"pearson-scout-fire","camp","Bear Skin Rug","","📦 Perfect Bear Pelt. Near main fire.","","","","",""
"pearson-sit-blanket","camp","Cow Hide Covered Chest","","📦 Perfect Cow Hide. Decorative storage.","","","","",""
"pearson-wolf","camp","Wolf Skin Rug","","📦 Perfect Wolf Pelt. Dutch tent area.","","","","",""
"satchel-ingredients","camp","Ingredients Satchel","","📦 Perfect Deer Pelt + Perfect Badger Pelt + Perfect Squirrel Pelt. Holds more cooking ingredients.","","","","",""
"satchel-kit","camp","Kit Satchel","","📦 Perfect Elk Pelt + Perfect Panther Pelt. Holds more kits/pamphlets.","","","","",""
"satchel-legend","camp","Legend of the East Satchel ⭐","","CRAFT ALL 7 ABOVE! Then Pearson can make this. Holds 99 of EVERYTHING!","","","","YES",""
"satchel-materials","camp","Materials Satchel","","📦 Perfect Boar Pelt + Perfect Iguana Skin. Holds more crafting materials.","","","","",""
"satchel-provisions","camp","Provisions Satchel","","📦 Perfect Deer Pelt + Perfect Bison Pelt + Perfect Raccoon Pelt. Holds more provisions.","","","","",""
"satchel-tonics","camp","Tonics Satchel","","📦 Perfect Deer Pelt + Perfect Buck Pelt. Holds more tonics.","","","","",""
"satchel-valuables","camp","Valuables Satchel","","📦 Perfect Deer Pelt + Perfect Beaver Pelt + Perfect Rabbit Pelt. Holds more valuables.","","","","",""
"camp-requests","camp-requests","Thimble for Jack","","Little Jack wants toys and books. Available after ""A Fisher of Men"" mission.","epilogue","","Chocolate Bar","YES",""
"req-abigail-money","camp-requests","$5 for Abigail (Jack\","","Just donate $5. She thanks you for caring about Jack.","","","","YES",""
"req-bill-pomade","camp-requests","Hair Pomade for Bill","","General stores. He gives Repeater Ammo.","","","Repeater Ammo","YES",""
