id,section,text,tip_short,tip_detailed,chapter,region,reward,missable,verified,notes
"weapon-flaco-revolver","weapons","Flaco's Revolver","📍 Cairn Lake cabin → Kill Flaco Hernandez","Track down the legendary gunslinger Flaco Hernandez at his frozen hideout near Cairn Lake, partner. Put him down in a duel and claim that ivory-handled revolver as your prize.","2","ambarino","Flaco's Revolver (unique)","","YES","Gunslinger Quest Part 1"
"weapon-granger-revolver","weapons","Granger's Revolver","📍 Flatneck Station pig farm → Duel Emmet Granger","Seek out Emmet Granger at his pig farm near Flatneck Station. The old fool's done terrible things to his pigs, but his dark metal revolver'll serve you well.","2","new-hanover","Granger's Revolver (unique)","","YES","Gunslinger Quest Part 2"
"weapon-midnight-pistol","weapons","Midnight's Pistol","📍 Train from Rhodes → Kill Billy Midnight","Board the train at Rhodes and find Billy Midnight hiding in a lavatory car like a coward. Force a duel and take that engraved Mauser from his cold hands.","2","lemoyne","Midnight's Pistol (unique Mauser)","","YES","Gunslinger Quest Part 3"
"weapon-calloway-revolver","weapons","Calloway's Revolver","📍 Riverboat finale → Duel Jim Boy Calloway","The final showdown with Jim Boy Calloway takes place on a riverboat. Best him in a duel and claim his famous revolver engraved with 'Canis Canem Edit'.","2","lemoyne","Calloway's Revolver (unique)","","YES","Gunslinger Quest Final"
"weapon-algernon-revolver","weapons","Algernon's Revolver","📍 Complete all 5 Exotics quests → Saint Denis reward","Help that eccentric fella Algernon Wasp collect all manner of exotic plumes and orchids across 5 tedious trips. Worth it for this ornate golden pistol.","4","lemoyne","Algernon's Revolver (ornate)","","YES","Duchesses and Other Animals quest reward"
"weapon-otis-miller","weapons","Otis Miller's Revolver","⚠️ EPILOGUE → Cholla Springs cave treasure","Piece together the Torn Treasure Map and it'll lead you to a cave north of Cholla Springs in New Austin. Otis Miller's legendary revolver awaits inside.","epilogue","new-austin","Otis Miller's Revolver (unique)","","YES","Requires Torn Treasure Map"
"weapon-micah-revolver","weapons","Micah's Revolver","⚠️ EPILOGUE 2 → Return to Mount Hagen","After the credits roll, saddle up and ride back to Mount Hagen where it all ended. You'll find that rat's revolver waiting in the snow.","epilogue","ambarino","Micah's Revolver (unique)","","YES","Post-credits return visit"
"weapon-schofield","weapons","Schofield Revolver","📍 Valentine Doctor → Backroom robbery chest","Head to the doctor's office in Valentine and knock on that suspicious side door. Rob the backroom and you'll find a fine Schofield Revolver in a chest.","2","new-hanover","Schofield Revolver","","YES","O'Driscoll side business robbery"
"weapon-lancaster","weapons","Lancaster Repeater","📍 Rhodes Gunsmith → Basement rescue","Peer through the dusty window 'round back of the Rhodes gunsmith. You'll spot a poor soul locked in that basement. Rob the joint, set him free, and claim the Lancaster.","2","lemoyne","Lancaster Repeater","","YES","Rescue kidnapped boy"
"weapon-semi-auto","weapons","Semi-Auto Shotgun","📍 Watson's Cabin cellar → N of Little Creek River","Visit Watson's Cabin north of Little Creek River in Big Valley. Old lady'll mistake you for someone. Head to the cellar and grab the shotgun from the case.","2","west-elizabeth","Semi-Auto Shotgun","","YES","Can grab without honor loss if quick"
