id,section,text,tip,chapter,region
"bounty-valentine","bounties","Valentine Sheriff (2 Bounties)","Available after Chapter 2 mission ","",
"bounty-benedict","bounties","Benedict Allbright ($40)","Poison seller. Found on rocks west of Valentine near Dakota River. Must bring ALIVE.","",
"bounty-ellie","bounties","Ellie Anne Swan ($50)","Female outlaw. Camp northwest of Valentine near Wallace Station. Alive = $50, Dead = $25.","",
"bounty-rhodes","bounties","Rhodes Sheriff (3 Bounties)","Southern bounties in Lemoyne area.","3",
"bounty-mark","bounties","Mark Johnson ($25)","Horse thief. Found in Bluewater Marsh. Has gang backup.","",
"bounty-robbie","bounties","Robbie Laidlaw ($45)","Murderer. Hiding near Caliga Hall farmhouse. Dangerous.","",
"bounty-camille","bounties","Camille de Millemont ($55)","French con artist. Found in Saint Denis area saloon. Persuasive - stay focused.","",
"bounty-strawberry","bounties","Strawberry Sheriff (2 Bounties)","Western bounties in Big Valley area.","2",
"bounty-joshua","bounties","Joshua Brown ($40)","Dangerous criminal. Abandoned mine NW of Strawberry. Bring dynamite or patience.","",
"bounty-bart","bounties","Bart Cavanaugh ($60)","Outlaw gang leader. Multiple bodyguards. Approach carefully - stealth recommended.","",
"bounty-saintdenis","bounties","Saint Denis Police (3 Bounties)","Urban bounties. Some connected to story missions.","4",
"bounty-lindsay","bounties","Lindsay Wofford ($45)","City criminal. Urban pursuit through Saint Denis streets. Watch for police.","",
"bounty-anthony","bounties","Anthony Foreman ($50)","Gang leader from Trelawny missions. Only appears if not killed in story. Epilogue.","epilogue",
"bounty-patrick","bounties","Patrick O\","","",
"bounty-blackwater","bounties","Blackwater Police (3 Bounties)","⚠️ EPILOGUE ONLY - West Elizabeth access required.","epilogue",
"bounty-elias","bounties","Elias Green ($65)","War veteran gone bad. West of Beecher\","",
"bounty-otis","bounties","Otis Skinner ($55)","Serial killer type. Very dangerous - bring heavy weapons.","",
"bounty-herman","bounties","Herman Zizendorf ($50)","Near MacFarlane","",
"bounty-tumbleweed","bounties","Tumbleweed Sheriff (2 Bounties)","⚠️ EPILOGUE ONLY - New Austin access required.","epilogue",
"bounty-joaquin","bounties","Joaquin Arroyo ($60)","Del Lobo gang connection. Alive = $60, Dead = $30.","",
"bounty-esteban","bounties","Esteban Cortez ($65)","Mexican outlaw. Multiple gang members. Alive or dead = $65.","",
"requests-jack","camp-requests","Jack Marston","","",
"req-jack-thimble","camp-requests","Thimble for Jack","Find in houses/cabins. He gives you a sweet drawing.","",
"req-jack-comic","camp-requests","Comic Book for Jack","General stores sell them. He gives you chocolate bar.","",
"requests-charles","camp-requests","Charles Smith","","",
"req-charles-moonshine","camp-requests","Moonshine for Charles","Fence or general store. Creates Fire Arrows for you.","",
"req-charles-oleander","camp-requests","Oleander Sage for Charles","Bayou area plant. Creates Poison Arrows for you. Excellent!","",
"req-charles-eagle","camp-requests","Eagle Feather for Charles","Shoot eagles or find feathers. EPILOGUE only request.","epilogue",
"requests-hosea","camp-requests","Hosea Matthews","","",
"req-hosea-book","camp-requests","The Case of the Shrew in the Fog","General stores. Read ","",
"req-hosea-ginseng","camp-requests","American Ginseng (×2)","Forest areas - common plant. He gives Potent Medicine.","",
"requests-pearson","camp-requests","Pearson","","",
"req-pearson-compass","camp-requests","Naval Compass","Shipwrecks or naval locations. He shares rum and navy stories.","",
"req-pearson-rabbit","camp-requests","Rabbit Carcass","Hunt any rabbit (perfect not needed). He makes Nutritious Stew.","",
"requests-others","camp-requests","Other Gang Member Requests","Various gang members have single requests. All missable after Chapter 4!","",
"req-abigail-money","camp-requests","$5 for Abigail (Jack\","","",
"req-bill-pomade","camp-requests","Hair Pomade for Bill","General stores. He gives Repeater Ammo.","",
"req-dutch-pipe","camp-requests","Pipe for Dutch","Random finds or Fence. He gives ornate Spurs.","",
"req-javier-oleander","camp-requests","Oleander Sage for Javier","Bayou plant. He gives Poison Throwing Knives.","",
